EJWY,VALM,EGXO,HTGR,SKRF,NNSZ,NYLC,GWID,TVUT,CJHI,NVFW,VLBG,IDIX,UVHN,IWOT,LEMB,QMYY,XDGR,ODZS,LNJS,WDRT,LKKS,UOBF,VBHE,FRWU,NDYZ,QSBO,JDUB,TEVK,EZTM,Label
-2.032145077366069,1.0195760435694763,-9.658714541307702,-6.210494703947213,3.1568230504733528,7.457849841439108,-5.313357303219468,8.508296466682637,3.9591936837389006,-5.246654023930276,0.4544584433834734,-3.8558388489162874,-6.24832606649059,4.934421704371348,10.008316742220334,-4.298335920467126,-8.814637520744315,3.8178389404116793,2.8960912886155534,-5.350593590501345,4.048589291705828,-2.209662801176646,-10.340123263383726,-7.697555305342925,-5.93275156391792,10.872688473081995,0.08132106405225431,1.2763156012671406,5.28122525459236,-0.516446649606503,0.0
8.306217223888188,6.649375825843307,-0.9603330808939734,-4.094798922513887,8.73896505800949,-3.4587971786041445,7.016799685015111,6.692764906316559,0.8982635775727036,9.337643092185163,-9.003987429284761,-8.940399083387604,6.156711367168078,9.587159124680863,-6.242117936340726,-3.958827179891313,2.793432234841061,-6.12072842583921,5.127778913513344,-2.374058977317836,4.341376198653245,0.8517927434850416,-9.678324337465968,-6.071794900809581,1.4281941898119979,-8.082792089731003,-0.5570892405470194,-7.817282334439096,-8.686721545655372,-6.9531002843836935,1.0
6.570841969101588,6.985461638923954,-1.8426205594731373,-1.5695991999566783,10.039339450919051,-3.6230255581803266,8.957619489590206,7.5772834373549465,1.5412550681503014,7.161508972823576,-7.1637347735830925,-7.004002498374381,4.678410436719683,9.168494350296424,-7.1395172215916105,-4.77431738723949,4.358969443997276,-6.179764083764145,4.20752185866604,0.5081843581240989,4.028944263901591,1.3760846314293118,-8.971163615526415,-5.3021908258519135,2.898965322785163,-8.746596571081826,-0.5208883823067326,-7.3509987395340195,-8.925501208738524,-7.051178599956023,1.0
-1.1399717578261512,0.5794218454010562,-9.526529903523773,-5.744927520823125,4.834355125560158,5.907234694575062,-4.804136803349292,6.798809581227601,5.403670316190399,-7.642857171876359,1.4301945802433025,-0.9914987073757418,-5.153022293659405,5.491574472397706,9.525384247549693,-7.426676769379146,-8.496024368979697,2.6715954697448345,4.386845394826393,-4.692552084505085,3.9745588792618824,0.27057134700103647,-8.640987572543697,-8.105418735575661,-5.07901504378738,9.3512822711502,0.6417585974473701,1.8980833002319117,3.904670900255896,1.4534985114724577,0.0
-1.7381035581821456,0.23472865253957131,-11.558767593854993,-7.181331862205265,4.189626406149038,7.76527435981631,-2.1890830539974244,7.239925166226667,3.135601628470257,-6.211390449737489,-1.1320323898430336,-3.827854879436508,-5.6594448726654445,4.374394561823658,8.222426482914933,-6.008159928511425,-8.804945043507582,4.699459246509445,3.9889866405762415,-4.276794814895367,3.7996326663860547,-0.01397261089774915,-9.437110118218955,-6.47526681771317,-5.70837724031131,9.623080258362267,1.80289934176395,1.903704958130469,4.188441690433104,1.5223615699188837,0.0
7.876477554871135,6.19670062221736,-1.965246020498061,-1.4740535075020276,9.554710730355547,-4.4114658471761885,6.431886773922778,7.167183171550316,2.190046453144369,9.952508418178406,-9.905961958593855,-7.702319279145663,5.583753613072109,8.403676580834547,-6.881442859285091,-3.1566780021716894,4.870012670005092,-4.728327486156283,4.487712308662072,-0.9402285721417197,3.6345854269802036,-0.13125158790123603,-9.176795546877676,-5.998653364535457,-1.0303308874231667,-6.3186866488145395,2.130092316811837,-8.822165684782252,-10.78590176878037,-6.2147637655862145,1.0
8.10836975206695,4.609987807439284,-3.710240060818728,-1.8503091332861465,9.423873211027859,-3.0712396165246507,6.821358045307669,6.264357447530983,-1.102350584416028,7.593052926880214,-7.967371139630142,-7.489347930447184,4.823734159497804,6.944026402424941,-6.562982529584269,-3.642009938071379,4.900574613263268,-5.113080681372185,4.448656678755083,-1.9023229064104328,2.7963521784563223,-0.3577136028328217,-4.976943112528936,-4.767454814680703,2.0844790595481206,-8.347793572599658,0.5601746096355884,-5.0501151476568955,-7.411584624807429,-8.326836897749361,1.0
8.00044169557304,6.012573980729067,-2.863335164867264,-4.5211946142689845,9.183267479083186,-1.8549487458120015,6.595638140504508,8.935374049833884,1.7950700344079855,8.659607888474023,-6.501551256326881,-8.734299250251178,4.8224879959656946,7.293672286113142,-7.425836743316814,-4.101472406703076,2.213376001527342,-5.456002801743921,4.882079106516995,-0.5205162975003019,4.215044403443383,1.3831993414345836,-9.462853736056143,-5.069788314995279,1.902397801794903,-7.37729515728479,0.9691619966763738,-8.291762033651594,-8.237710582261176,-5.566688626268125,1.0
-0.7132520031191545,0.33724845201580944,-9.367722309316932,-6.7426362841289835,3.0400398015808845,8.008033495661719,-2.929745947465614,8.798177820654537,5.211509012925858,-5.6994819940164865,1.6370168369520295,-1.9365907160219615,-7.626289221420748,4.688149893709757,8.14619298074064,-6.975375529258861,-8.893369725193345,3.7399092196714587,2.236935934988955,-5.547612816196123,4.204096435212435,-0.0920424932267907,-9.049023378183659,-7.296307203669395,-5.977682236401698,9.49833131816183,-0.35630895281994623,0.7332298847449482,2.8323798063119923,-0.7844429258159824,0.0
0.08740920273577493,2.3528661375686974,-7.31712821272849,-6.098666834595908,5.759254836146255,5.783701310884674,-3.6505686498879646,6.671534456300778,4.130746272863464,-6.350078445202564,0.7610611140326713,-3.6382431312175134,-5.210601637264395,5.358282753784254,7.775697574758766,-4.623746607007401,-7.293307776808926,2.8368000783057457,5.038563482898044,-7.000280797549151,3.178559892214219,0.2204380985588561,-9.91559019729676,-6.021893713282529,-5.890342943504479,9.370214205645354,0.08920253830526209,1.1510257786494833,5.23677138473385,0.31270633343721355,0.0
0.4248616006283882,4.6845422746943175,-8.155887259900123,-3.6602176296403433,3.426729852831005,7.679128911687459,-3.611434906594132,9.412636429688009,2.384346691894334,-7.560521823464673,-0.6382830248191969,-2.0733833207506187,-7.196452355280553,6.044657658242612,9.649411335735769,-5.621661651650967,-7.39460738227323,1.8603251637648106,5.598907702131697,-5.127288951763717,4.183824873915187,1.0204677570877805,-10.59317164148593,-7.091046251065818,-6.58326536583572,9.105787472383767,2.88642571540341,2.4702925219954994,5.821877692219275,2.7068536663440637,0.0
